Category;SKU;Price;Product URL;Product Name;Manufacturer SKU;Manufacturer;EAN;Description;Graphic URL;In Stock;Stock Level;Delivery Time;Shippingcost
Pokersæt;pj300;199;https://billigpoker.dk;Pokersæt (300 jetoner);;;;Pokersæt i aluminiumskuffert med 300 chips (11,5 grams), 2 spil kort, 5 terninger og dealer button.;https://billigpoker.dk/pokersaet-m2.jpg;Ja;255;1-3 dage;0
Pokersæt;pj500;319;https://billigpoker.dk;Pokersæt (500 jetoner);;;;Pokersæt i aluminiumskuffert med 500 chips (11,5 grams), 2 spil kort, 5 terninger og dealer button.;https://billigpoker.dk/pokersaet-l2.jpg;Ja;243;1-3 dage;0
